country,category,indicator,response,category_id,indicator_id
Guinea-Bissau,Virological surveillance,Average number of virological samples processed per week (2024),N/A,6,32
Guinea-Bissau,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Guinea-Bissau,Virological surveillance,Does the country have genomic sequencing capacity?,No,6,19
Guinea-Bissau,Virological surveillance,Does the country test for other respiratory viruses?,No,6,20
Guinea-Bissau,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Guinea-Bissau,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Guinea-Bissau,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Guinea-Bissau,Virological surveillance,RT-PCR,No,6,24
Guinea-Bissau,Virological surveillance,Virus Isolation capacity,No,6,25
Guinea-Bissau,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Guinea-Bissau,Virological surveillance,Sequencing capacity,No,6,66
Guinea-Bissau,Virological surveillance,Does the country forward samples to a WHO CC?,No,6,28
Guinea-Bissau,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Guinea-Bissau,Data reporting & use,Does the country report to the FluID?,No,8,31
Guinea-Bissau,Data reporting & use,Does the country report to the FluNet?,No,8,33
Guinea-Bissau,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Guinea-Bissau,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Guinea-Bissau,Data reporting & use,What year was it performed?,No,8,37
Guinea-Bissau,Data reporting & use,What was the estimated burden?,No,8,38
Guinea-Bissau,Data reporting & use,Was it published? If yes provide link,No,8,39
Guinea-Bissau,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Guinea-Bissau,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No,9,41
Guinea-Bissau,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No,9,42
Guinea-Bissau,Vaccination,What are the recommended risk groups for influenza vaccine?,No,9,43
Guinea-Bissau,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No,9,44
Guinea-Bissau,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Guinea-Bissau,Pandemic preparedness and response,Year plan Last updated,N/A,10,46
Guinea-Bissau,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Guinea-Bissau,Pandemic preparedness and response,Influenza specific,No,10,48
Guinea-Bissau,Pandemic preparedness and response,COVID-19 specific,Yes 2022,10,49
Guinea-Bissau,Pandemic preparedness and response,All Hazards,No response,10,50
Guinea-Bissau,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Guinea-Bissau,Pandemic preparedness and response,Year simulation conducted,N/a,10,52
Guinea-Bissau,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Guinea-Bissau,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,No,11,54
Guinea-Bissau,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No,11,26
Guinea-Bissau,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Guinea-Bissau,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Guinea-Bissau,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Guinea-Bissau,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",No,12,17
Kenya,Population and Economy,Population,55339003,1,1
Kenya,Population and Economy,Total Health Expenditure,4.55,1,2
Kenya,Population and Economy,Life expectancy,62,1,3
Kenya,Mortality per 100 000 population,All cause/all ages,1076.7,2,4
Kenya,Mortality per 1000 live births,All cause/under 5 years,41.1,3,5
Kenya,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Kenya,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,WHO 2014,4,7
Kenya,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Kenya,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,9,4,9
Kenya,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,Sentinel,5,10
Kenya,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Kenya,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,WHO 2014,5,12
Kenya,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Kenya,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,9,5,14
Kenya,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Kenya,Virological surveillance,Does the National Influenza reference laboratory have:,Yes,6,64
Kenya,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Kenya,Virological surveillance,Average number of virological samples processed per week (2024),86,6,32
Kenya,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Kenya,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Kenya,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Kenya,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),Yes,6,21
Kenya,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Kenya,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Kenya,Virological surveillance,RT-PCR,Yes,6,24
Kenya,Virological surveillance,Virus Isolation capacity,Yes,6,25
Kenya,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Kenya,Virological surveillance,Sequencing capacity,Yes,6,66
Kenya,Virological surveillance,Does the country forward samples to a WHO CC?,Yes,6,28
Kenya,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,Yes,8,34
Kenya,Data reporting & use,Does the country report to the FluID?,Yes,8,31
Kenya,Data reporting & use,Reporting consistency (2023-2024),1,8,61
Kenya,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Kenya,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Kenya,Data reporting & use,Has the country performed a burden of disease analysis?,Yes,8,36
Kenya,Data reporting & use,Was it published? If yes provide link,"https://pubmed.ncbi.nlm.nih.gov/23169973/
https://pubmed.ncbi.nlm.nih.gov/23573177/
https://pubmed.ncbi.nlm.nih.gov/25133576/",8,39
Kenya,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,Yes,9,40
Kenya,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,Yes,9,41
Kenya,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,Yes,9,42
Kenya,Vaccination,What are the recommended risk groups for influenza vaccine?,No,9,43
Kenya,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Kenya,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,In progress,10,45
Kenya,Pandemic preparedness and response,Year plan Last updated,Draft,10,46
Kenya,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Kenya,Pandemic preparedness and response,Influenza specific,No,10,48
Kenya,Pandemic preparedness and response,COVID-19 specific,Yes 2020,10,49
Kenya,Pandemic preparedness and response,All Hazards,No response,10,50
Kenya,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Kenya,Pandemic preparedness and response,Year simulation conducted,N/a,10,52
Kenya,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Kenya,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Kenya,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,Yes,11,26
Kenya,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,No,12,56
Kenya,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,Yes,12,57
Kenya,Zoonotic Influenza surveillance,"If yes, when",2021,12,58
Kenya,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",Yes,12,17
Lesotho,Population and Economy,Population,2311472,1,1
Lesotho,Population and Economy,Total Health Expenditure,10.21,1,2
Lesotho,Population and Economy,Life expectancy,53,1,3
Lesotho,Mortality per 100 000 population,All cause/all ages,2255.5,2,4
Lesotho,Mortality per 1000 live births,All cause/under 5 years,72.2,3,5
Lesotho,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Lesotho,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,IDSR 3rd Edition,4,7
Lesotho,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Lesotho,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,1,4,9
Lesotho,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,IDSR,5,10
Lesotho,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Lesotho,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,IDSR 3rd Edition,5,12
Lesotho,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Lesotho,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,1,5,14
Lesotho,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,No response,5,15
Lesotho,Virological surveillance,Does the National Influenza reference laboratory have:,No,6,64
Lesotho,Virological surveillance,Type of virological surveillance,N/A,6,16
Lesotho,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Lesotho,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Lesotho,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Lesotho,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Lesotho,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Lesotho,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Lesotho,Virological surveillance,RT-PCR,N/A,6,24
Lesotho,Virological surveillance,Virus Isolation capacity,N/A,6,25
Lesotho,Virological surveillance,Antiviral susceptibility testing capability,N/A,6,65
Lesotho,Virological surveillance,Sequencing capacity,N/A,6,66
Lesotho,Virological surveillance,Does the country forward samples to a WHO CC?,No,6,28
Lesotho,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Lesotho,Data reporting & use,Does the country report to the FluID?,No,8,31
Lesotho,Data reporting & use,Reporting consistency (2023-2024),No,8,61
Lesotho,Data reporting & use,Does the country report to the FluNet?,No,8,33
Lesotho,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Lesotho,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Lesotho,Data reporting & use,What year was it performed?,No,8,37
Lesotho,Data reporting & use,What was the estimated burden?,No,8,38
Lesotho,Data reporting & use,Was it published? If yes provide link,No,8,39
Lesotho,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Lesotho,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Lesotho,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No,9,42
Lesotho,Vaccination,What are the recommended risk groups for influenza vaccine?,No,9,43
Lesotho,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No,9,44
Lesotho,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Lesotho,Pandemic preparedness and response,Year plan Last updated,No,10,46
Lesotho,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Lesotho,Pandemic preparedness and response,Influenza specific,No,10,48
Lesotho,Pandemic preparedness and response,COVID-19 specific,Yes,10,49
Lesotho,Pandemic preparedness and response,All Hazards,No response,10,50
Lesotho,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Lesotho,Pandemic preparedness and response,Year simulation conducted,No,10,52
Lesotho,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Lesotho,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,No,11,54
Lesotho,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No,11,26
Lesotho,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Lesotho,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Lesotho,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Lesotho,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",No,12,17
Liberia,Population and Economy,Population,5493031,1,1
Liberia,Population and Economy,Total Health Expenditure,16.62,1,2
Liberia,Population and Economy,Life expectancy,61,1,3
Liberia,Mortality per 100 000 population,All cause/all ages,1136.6,2,4
Liberia,Mortality per 1000 live births,All cause/under 5 years,73.2,3,5
Liberia,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Liberia,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,IDSR 3rd Edition,4,7
Liberia,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Liberia,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,4,4,9
Liberia,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,Sentinel,5,10
Liberia,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Liberia,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,IDSR 3rd Edition,5,12
Liberia,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Liberia,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,4,5,14
Liberia,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Liberia,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Liberia,Virological surveillance,Average number of virological samples processed per week (2024),3,6,32
Liberia,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Liberia,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Liberia,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Liberia,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Liberia,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Liberia,Virological surveillance,RT-PCR,Yes,6,24
Liberia,Virological surveillance,Virus Isolation capacity,No,6,25
Liberia,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Liberia,Virological surveillance,Sequencing capacity,No,6,66
Liberia,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Liberia,Data reporting & use,Does the country report to the FluID?,No,8,31
Liberia,Data reporting & use,Reporting consistency (2023-2024),0.86,8,61
Liberia,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Liberia,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Liberia,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Liberia,Data reporting & use,What year was it performed?,N/A,8,37
Liberia,Data reporting & use,What was the estimated burden?,N/A,8,38
Liberia,Data reporting & use,Was it published? If yes provide link,N/A,8,39
Liberia,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Liberia,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No,9,41
Liberia,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Liberia,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Liberia,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,N/A,9,44
Liberia,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Liberia,Pandemic preparedness and response,Year plan Last updated,N/A,10,46
Liberia,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Liberia,Pandemic preparedness and response,Influenza specific,Yes 2023,10,48
Liberia,Pandemic preparedness and response,COVID-19 specific,Yes,10,49
Liberia,Pandemic preparedness and response,All Hazards,No response,10,50
Liberia,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Liberia,Pandemic preparedness and response,Year simulation conducted,No,10,52
Liberia,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Liberia,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Liberia,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,Yes,11,26
Liberia,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Liberia,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,Yes,12,57
Liberia,Zoonotic Influenza surveillance,"If yes, when",2024,12,58
Liberia,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",Yes,12,17
Madagascar,Population and Economy,Population,31195932,1,1
Madagascar,Population and Economy,Total Health Expenditure,3.5,1,2
Madagascar,Population and Economy,Life expectancy,65,1,3
Madagascar,Mortality per 100 000 population,All cause/all ages,1252.1,2,4
Madagascar,Mortality per 1000 live births,All cause/under 5 years,65.8,3,5
Madagascar,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Madagascar,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,WHO  2014,4,7
Madagascar,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Madagascar,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,21,4,9
Madagascar,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,Sentinel,5,10
Madagascar,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Madagascar,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,WHO 2014,5,12
Madagascar,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Madagascar,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,5,5,14
Madagascar,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Madagascar,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Madagascar,Virological surveillance,Average number of virological samples processed per week (2024),77,6,32
Madagascar,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Madagascar,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Madagascar,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Madagascar,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),Yes,6,21
Madagascar,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Madagascar,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Madagascar,Virological surveillance,RT-PCR,Yes,6,24
Madagascar,Virological surveillance,Virus Isolation capacity,Yes,6,25
Madagascar,Virological surveillance,Antiviral susceptibility testing capability,Yes,6,65
Madagascar,Virological surveillance,Sequencing capacity,Yes,6,66
Madagascar,Virological surveillance,Does the country forward samples to a WHO CC?,Yes,6,28
Madagascar,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,Yes,8,34
Madagascar,Data reporting & use,Does the country report to the FluID?,Yes,8,31
Madagascar,Data reporting & use,Reporting consistency (2023-2024),1,8,61
Madagascar,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Madagascar,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,Yes,8,35
Madagascar,Data reporting & use,Has the country performed a burden of disease analysis?,Yes,8,36
Madagascar,Data reporting & use,What year was it performed?,2019,8,37
Madagascar,Data reporting & use,Was it published? If yes provide link,https://pubmed.ncbi.nlm.nih.gov/30596225/,8,39
Madagascar,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Madagascar,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No,9,41
Madagascar,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Madagascar,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Madagascar,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Madagascar,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Madagascar,Pandemic preparedness and response,Year plan Last updated,N/A,10,46
Madagascar,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Madagascar,Pandemic preparedness and response,Influenza specific,Yes 2011,10,48
Madagascar,Pandemic preparedness and response,COVID-19 specific,Yes 2020,10,49
Madagascar,Pandemic preparedness and response,All Hazards,No,10,50
Madagascar,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Madagascar,Pandemic preparedness and response,Year simulation conducted,N/a,10,52
Madagascar,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Madagascar,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Madagascar,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,Yes,11,26
Madagascar,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Madagascar,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,Yes,12,57
Madagascar,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Madagascar,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",No,12,17
Malawi,Population and Economy,Population,21104482,1,1
Malawi,Population and Economy,Total Health Expenditure,7.41,1,2
Malawi,Population and Economy,Life expectancy,63,1,3
Malawi,Mortality per 100 000 population,All cause/all ages,1346.6,2,4
Malawi,Mortality per 1000 live births,All cause/under 5 years,40.1,3,5
Malawi,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Malawi,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,WHO 2014,4,7
Malawi,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Malawi,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,7,4,9
Malawi,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,IDSR,5,10
Malawi,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Malawi,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,WHO 2014,5,12
Malawi,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,No,5,13
Malawi,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,No,5,15
Malawi,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Malawi,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Malawi,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Malawi,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Malawi,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Malawi,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Malawi,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Malawi,Virological surveillance,RT-PCR,Yes,6,24
Malawi,Virological surveillance,Virus Isolation capacity,N/A,6,25
Malawi,Virological surveillance,Antiviral susceptibility testing capability,Yes,6,65
Malawi,Virological surveillance,Sequencing capacity,N/A,6,66
Malawi,Virological surveillance,Does the country forward samples to a WHO CC?,No,6,28
Malawi,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Malawi,Data reporting & use,Does the country report to the FluID?,No,8,31
Malawi,Data reporting & use,Does the country report to the FluNet?,No,8,33
Malawi,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Malawi,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Malawi,Data reporting & use,What year was it performed?,No,8,37
Malawi,Data reporting & use,What was the estimated burden?,No,8,38
Malawi,Data reporting & use,Was it published? If yes provide link,No,8,39
Malawi,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Malawi,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,N/A,9,41
Malawi,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Malawi,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Malawi,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Malawi,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Malawi,Pandemic preparedness and response,Year plan Last updated,No,10,46
Malawi,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Malawi,Pandemic preparedness and response,Influenza specific,No response,10,48
Malawi,Pandemic preparedness and response,COVID-19 specific,No response,10,49
Malawi,Pandemic preparedness and response,All Hazards,Yes 2023,10,50
Malawi,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Malawi,Pandemic preparedness and response,Year simulation conducted,N/a,10,52
Malawi,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Malawi,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Malawi,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No,11,26
Malawi,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Malawi,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Malawi,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Malawi,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",No,12,17
Mali,Population and Economy,Population,23769127,1,1
Mali,Population and Economy,Total Health Expenditure,4.47,1,2
Mali,Population and Economy,Life expectancy,59,1,3
Mali,Mortality per 100 000 population,All cause/all ages,1199.1,2,4
Mali,Mortality per 1000 live births,All cause/under 5 years,93.8,3,5
Mali,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
