"country","category","indicator","response"
"Guinea-Bissau","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Guinea-Bissau","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Guinea-Bissau","Zoonotic Influenza surveillance","If yes, when","No"
"Kenya","Population and Economy","Life expectancy","62"
"Kenya","Population and Economy","Population","55339003"
"Kenya","Population and Economy","Total Health Expenditure","4.55"
"Kenya","Mortality per 100 000 population","All cause/all ages","1076.7"
"Kenya","Mortality per 1000 live births","All cause/under 5 years","41.1"
"Kenya","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Kenya","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","9"
"Kenya","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","WHO 2014"
"Kenya","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Kenya","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Kenya","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Kenya","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","9"
"Kenya","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Kenya","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","WHO 2014"
"Kenya","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Kenya","Virological surveillance","Antiviral susceptibility testing capability","No"
"Kenya","Virological surveillance","Average number of virological samples processed per week (2024)","86"
"Kenya","Virological surveillance","Does the country forward samples to a WHO CC?","Yes"
"Kenya","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Kenya","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","Yes"
"Kenya","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Kenya","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Kenya","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Kenya","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Kenya","Virological surveillance","Does the National Influenza reference laboratory have:","Yes"
"Kenya","Virological surveillance","RT-PCR","Yes"
"Kenya","Virological surveillance","Sequencing capacity","Yes"
"Kenya","Virological surveillance","Type of virological surveillance","Sentinel"
"Kenya","Virological surveillance","Virus Isolation capacity","Yes"
"Kenya","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","Yes"
"Kenya","Data reporting & use","Does the country report to the FluID?","Yes"
"Kenya","Data reporting & use","Does the country report to the FluNet?","Yes"
"Kenya","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Kenya","Data reporting & use","Has the country performed a burden of disease analysis?","Yes"
"Kenya","Data reporting & use","Reporting consistency (2023-2024)","1"
"Kenya","Data reporting & use","Was it published? If yes provide link","https://pubmed.ncbi.nlm.nih.gov/23169973/
https://pubmed.ncbi.nlm.nih.gov/23573177/
https://pubmed.ncbi.nlm.nih.gov/25133576/"
"Kenya","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","Yes"
"Kenya","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","Yes"
"Kenya","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","Yes"
"Kenya","Vaccination","What are the recommended risk groups for influenza vaccine?","No"
"Kenya","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Kenya","Pandemic preparedness and response","All Hazardzs","No response"
"Kenya","Pandemic preparedness and response","COVID-19 specific","Yes 2020"
"Kenya","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Kenya","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Kenya","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","In progress"
"Kenya","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Kenya","Pandemic preparedness and response","Influenza specific","No"
"Kenya","Pandemic preparedness and response","Year plan Last updated","Draft"
"Kenya","Pandemic preparedness and response","Year simulation conducted","N/a"
"Kenya","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Kenya","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Kenya","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","No"
"Kenya","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","Yes"
"Kenya","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","Yes"
"Kenya","Zoonotic Influenza surveillance","If yes, when","2021"
"Lesotho","Population and Economy","Life expectancy","53"
"Lesotho","Population and Economy","Population","2311472"
"Lesotho","Population and Economy","Total Health Expenditure","10.21"
"Lesotho","Mortality per 100 000 population","All cause/all ages","2255.5"
"Lesotho","Mortality per 1000 live births","All cause/under 5 years","72.2"
"Lesotho","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Lesotho","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","1"
"Lesotho","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","IDSR 3rd Edition"
"Lesotho","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Lesotho","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Lesotho","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","No response"
"Lesotho","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","1"
"Lesotho","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Lesotho","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","IDSR 3rd Edition"
"Lesotho","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","IDSR"
"Lesotho","Virological surveillance","Antiviral susceptibility testing capability","N/A"
"Lesotho","Virological surveillance","Does the country forward samples to a WHO CC?","No"
"Lesotho","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Lesotho","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Lesotho","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Lesotho","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Lesotho","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Lesotho","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Lesotho","Virological surveillance","Does the National Influenza reference laboratory have:","No"
"Lesotho","Virological surveillance","RT-PCR","N/A"
"Lesotho","Virological surveillance","Sequencing capacity","N/A"
"Lesotho","Virological surveillance","Type of virological surveillance","N/A"
"Lesotho","Virological surveillance","Virus Isolation capacity","N/A"
"Lesotho","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Lesotho","Data reporting & use","Does the country report to the FluID?","No"
"Lesotho","Data reporting & use","Does the country report to the FluNet?","No"
"Lesotho","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Lesotho","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Lesotho","Data reporting & use","Reporting consistency (2023-2024)","No"
"Lesotho","Data reporting & use","Was it published? If yes provide link","No"
"Lesotho","Data reporting & use","What was the estimated burden?","No"
"Lesotho","Data reporting & use","What year was it performed?","No"
"Lesotho","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Lesotho","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No"
"Lesotho","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Lesotho","Vaccination","What are the recommended risk groups for influenza vaccine?","No"
"Lesotho","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No"
"Lesotho","Pandemic preparedness and response","All Hazardzs","No response"
"Lesotho","Pandemic preparedness and response","COVID-19 specific","Yes"
"Lesotho","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Lesotho","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Lesotho","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Lesotho","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Lesotho","Pandemic preparedness and response","Influenza specific","No"
"Lesotho","Pandemic preparedness and response","Year plan Last updated","No"
"Lesotho","Pandemic preparedness and response","Year simulation conducted","No"
"Lesotho","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No"
"Lesotho","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","No"
"Lesotho","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Lesotho","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Lesotho","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Lesotho","Zoonotic Influenza surveillance","If yes, when","No"
"Liberia","Population and Economy","Life expectancy","61"
"Liberia","Population and Economy","Population","5493031"
"Liberia","Population and Economy","Total Health Expenditure","16.62"
"Liberia","Mortality per 100 000 population","All cause/all ages","1136.6"
"Liberia","Mortality per 1000 live births","All cause/under 5 years","73.2"
"Liberia","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Liberia","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","4"
"Liberia","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","IDSR 3rd Edition"
"Liberia","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Liberia","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Liberia","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Liberia","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","4"
"Liberia","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Liberia","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","IDSR 3rd Edition"
"Liberia","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Liberia","Virological surveillance","Antiviral susceptibility testing capability","No"
"Liberia","Virological surveillance","Average number of virological samples processed per week (2024)","3"
"Liberia","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Liberia","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Liberia","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Liberia","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Liberia","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Liberia","Virological surveillance","RT-PCR","Yes"
"Liberia","Virological surveillance","Sequencing capacity","No"
"Liberia","Virological surveillance","Type of virological surveillance","Sentinel"
"Liberia","Virological surveillance","Virus Isolation capacity","No"
"Liberia","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Liberia","Data reporting & use","Does the country report to the FluID?","No"
"Liberia","Data reporting & use","Does the country report to the FluNet?","Yes"
"Liberia","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Liberia","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Liberia","Data reporting & use","Reporting consistency (2023-2024)","0.86"
"Liberia","Data reporting & use","Was it published? If yes provide link","N/A"
"Liberia","Data reporting & use","What was the estimated burden?","N/A"
"Liberia","Data reporting & use","What year was it performed?","N/A"
"Liberia","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Liberia","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Liberia","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No"
"Liberia","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Liberia","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","N/A"
"Liberia","Pandemic preparedness and response","All Hazardzs","No response"
"Liberia","Pandemic preparedness and response","COVID-19 specific","Yes"
"Liberia","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Liberia","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Liberia","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Liberia","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Liberia","Pandemic preparedness and response","Influenza specific","Yes 2023"
"Liberia","Pandemic preparedness and response","Year plan Last updated","N/A"
"Liberia","Pandemic preparedness and response","Year simulation conducted","No"
"Liberia","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Liberia","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Liberia","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Liberia","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","Yes"
"Liberia","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","Yes"
"Liberia","Zoonotic Influenza surveillance","If yes, when","2024"
"Madagascar","Population and Economy","Life expectancy","65"
"Madagascar","Population and Economy","Population","31195932"
"Madagascar","Population and Economy","Total Health Expenditure","3.5"
"Madagascar","Mortality per 100 000 population","All cause/all ages","1252.1"
"Madagascar","Mortality per 1000 live births","All cause/under 5 years","65.8"
"Madagascar","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Madagascar","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","21"
"Madagascar","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","WHO  2014"
"Madagascar","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Madagascar","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Madagascar","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Madagascar","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","5"
"Madagascar","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Madagascar","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","WHO 2014"
"Madagascar","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Madagascar","Virological surveillance","Antiviral susceptibility testing capability","Yes"
"Madagascar","Virological surveillance","Average number of virological samples processed per week (2024)","77"
"Madagascar","Virological surveillance","Does the country forward samples to a WHO CC?","Yes"
"Madagascar","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Madagascar","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","Yes"
"Madagascar","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Madagascar","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Madagascar","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Madagascar","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Madagascar","Virological surveillance","RT-PCR","Yes"
"Madagascar","Virological surveillance","Sequencing capacity","Yes"
"Madagascar","Virological surveillance","Type of virological surveillance","Sentinel"
"Madagascar","Virological surveillance","Virus Isolation capacity","Yes"
"Madagascar","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","Yes"
"Madagascar","Data reporting & use","Does the country report to the FluID?","Yes"
"Madagascar","Data reporting & use","Does the country report to the FluNet?","Yes"
"Madagascar","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","Yes"
"Madagascar","Data reporting & use","Has the country performed a burden of disease analysis?","Yes"
"Madagascar","Data reporting & use","Reporting consistency (2023-2024)","1"
"Madagascar","Data reporting & use","Was it published? If yes provide link","https://pubmed.ncbi.nlm.nih.gov/30596225/"
"Madagascar","Data reporting & use","What year was it performed?","2019"
"Madagascar","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Madagascar","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Madagascar","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No"
"Madagascar","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Madagascar","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Madagascar","Pandemic preparedness and response","All Hazardzs","No"
"Madagascar","Pandemic preparedness and response","COVID-19 specific","Yes 2020"
"Madagascar","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Madagascar","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Madagascar","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Madagascar","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Madagascar","Pandemic preparedness and response","Influenza specific","Yes 2011"
"Madagascar","Pandemic preparedness and response","Year plan Last updated","N/A"
"Madagascar","Pandemic preparedness and response","Year simulation conducted","N/a"
"Madagascar","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Madagascar","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Madagascar","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Madagascar","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Madagascar","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","Yes"
"Madagascar","Zoonotic Influenza surveillance","If yes, when","No"
"Malawi","Population and Economy","Life expectancy","63"
"Malawi","Population and Economy","Population","21104482"
"Malawi","Population and Economy","Total Health Expenditure","7.41"
"Malawi","Mortality per 100 000 population","All cause/all ages","1346.6"
"Malawi","Mortality per 1000 live births","All cause/under 5 years","40.1"
"Malawi","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Malawi","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","7"
"Malawi","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","WHO 2014"
"Malawi","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Malawi","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","No"
"Malawi","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","No"
"Malawi","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Malawi","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","WHO 2014"
"Malawi","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","IDSR"
"Malawi","Virological surveillance","Antiviral susceptibility testing capability","Yes"
"Malawi","Virological surveillance","Does the country forward samples to a WHO CC?","No"
"Malawi","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Malawi","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Malawi","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Malawi","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Malawi","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Malawi","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Malawi","Virological surveillance","RT-PCR","Yes"
"Malawi","Virological surveillance","Sequencing capacity","N/A"
"Malawi","Virological surveillance","Type of virological surveillance","Sentinel"
"Malawi","Virological surveillance","Virus Isolation capacity","N/A"
"Malawi","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Malawi","Data reporting & use","Does the country report to the FluID?","No"
"Malawi","Data reporting & use","Does the country report to the FluNet?","No"
"Malawi","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Malawi","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Malawi","Data reporting & use","Was it published? If yes provide link","No"
"Malawi","Data reporting & use","What was the estimated burden?","No"
"Malawi","Data reporting & use","What year was it performed?","No"
"Malawi","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Malawi","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Malawi","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","N/A"
"Malawi","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Malawi","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Malawi","Pandemic preparedness and response","All Hazardzs","Yes 2023"
"Malawi","Pandemic preparedness and response","COVID-19 specific","No response"
"Malawi","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Malawi","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Malawi","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Malawi","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Malawi","Pandemic preparedness and response","Influenza specific","No response"
"Malawi","Pandemic preparedness and response","Year plan Last updated","No"
"Malawi","Pandemic preparedness and response","Year simulation conducted","N/a"
"Malawi","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No"
"Malawi","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Malawi","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Malawi","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Malawi","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Malawi","Zoonotic Influenza surveillance","If yes, when","No"
"Mali","Population and Economy","Life expectancy","59"
"Mali","Population and Economy","Population","23769127"
"Mali","Population and Economy","Total Health Expenditure","4.47"
"Mali","Mortality per 100 000 population","All cause/all ages","1199.1"
"Mali","Mortality per 1000 live births","All cause/under 5 years","93.8"
"Mali","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Mali","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","5"
"Mali","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","IDSR 3rd Edition"
"Mali","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Mali","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","No"
"Mali","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Mali","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","3"
"Mali","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Mali","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","IDSR 3rd Edition"
"Mali","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Mali","Virological surveillance","Antiviral susceptibility testing capability","Yes"
"Mali","Virological surveillance","Average number of virological samples processed per week (2024)","26"
"Mali","Virological surveillance","Does the country forward samples to a WHO CC?","Yes"
"Mali","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Mali","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Mali","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Mali","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Mali","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Mali","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Mali","Virological surveillance","RT-PCR","No"
"Mali","Virological surveillance","Sequencing capacity","N/A"
"Mali","Virological surveillance","Type of virological surveillance","Sentinel"
"Mali","Virological surveillance","Virus Isolation capacity","No"
"Mali","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Mali","Data reporting & use","Does the country report to the FluID?","No"
"Mali","Data reporting & use","Does the country report to the FluNet?","Yes"
"Mali","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Mali","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Mali","Data reporting & use","Reporting consistency (2023-2024)","1"
"Mali","Data reporting & use","Was it published? If yes provide link","N/A"
"Mali","Data reporting & use","What was the estimated burden?","N/A"
"Mali","Data reporting & use","What year was it performed?","N/A"
"Mali","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Mali","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Mali","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No"
"Mali","Vaccination","Northern/Southern hemisphere Vaccine","No response"
"Mali","Vaccination","Recommended risk groups","No response"
"Mali","Pandemic preparedness and response","All Hazardzs","No response"
"Mali","Pandemic preparedness and response","COVID-19 specific","Yes"
"Mali","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Mali","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Mali","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Mali","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Mali","Pandemic preparedness and response","Influenza specific","No response"
"Mali","Pandemic preparedness and response","Year plan Last updated","N/A"
"Mali","Pandemic preparedness and response","Year simulation conducted","No"
"Mali","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Mali","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Mali","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Mali","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","Yes"
"Mali","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Mali","Zoonotic Influenza surveillance","If yes, when","N/A"
"Mauritania","Population and Economy","Life expectancy","65"
"Mauritania","Population and Economy","Population","5022441"
"Mauritania","Population and Economy","Total Health Expenditure","4.12"
"Mauritania","Mortality per 100 000 population","All cause/all ages","941.1"
"Mauritania","Mortality per 1000 live births","All cause/under 5 years","39.2"
"Mauritania","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Mauritania","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","3"
"Mauritania","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","IDSR 3rd Edition"
"Mauritania","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
